DATE,UNE,SUBMARCA,MERCADO,VENTA_PRECIOLISTAOTB
2020-11-01,COSMETIQUERA,CLOEMOM&BABY,M2,0.0
2020-11-01,COSMETIQUERA,CLOESEXTOSENTIDO,M1,0.0
2020-11-01,COSMETIQUERA,CLOESEXTOSENTIDO,M2,0.0
2020-11-01,COSMETIQUERA,CLOEUOMO,M1,0.0
2020-11-01,COSMETIQUERA,CLOEUOMO,M2,0.0
2020-11-01,COSMETIQUERA,LUCENTZZA,M1,0.0
2020-11-01,COSMETIQUERA,LUCENTZZA,M2,0.0
2020-11-01,COSMETIQUERA,X,M1,0.0
2020-11-01,COSMETIQUERA,X,M2,0.0
2020-11-01,COSMETIQUERA,Y,M1,0.0
2020-11-01,COSMETIQUERA,Y,M2,0.0
2020-11-01,EQUIPAJE,CLOEAGATHARUIZDELAPRADA,M1,29.738139279800002
2020-11-01,EQUIPAJE,CLOEAGATHARUIZDELAPRADA,M2,1.0
2020-11-01,EQUIPAJE,CLOE,M1,11808.234616619999
2020-11-01,EQUIPAJE,CLOE,M2,56.0
2020-11-01,EQUIPAJE,CLOEGIRLS,M1,0.0
2020-11-01,EQUIPAJE,CLOEGIRLS,M2,0.0
2020-11-01,EQUIPAJE,CLOELEATHER,M1,0.0
2020-11-01,EQUIPAJE,CLOELEATHER,M2,0.0
2020-11-01,EQUIPAJE,CLOEMOM&BABY,M1,0.0
2020-11-01,EQUIPAJE,CLOEMOM&BABY,M2,0.0
2020-11-01,EQUIPAJE,CLOESEXTOSENTIDO,M1,0.0
2020-11-01,EQUIPAJE,CLOESEXTOSENTIDO,M2,0.0
2020-11-01,EQUIPAJE,CLOEUOMO,M1,243.18734361849997
2020-11-01,EQUIPAJE,CLOEUOMO,M2,23.0
2020-11-01,EQUIPAJE,LUCENTZZA,M1,0.0
2020-11-01,EQUIPAJE,LUCENTZZA,M2,0.0
2020-11-01,EQUIPAJE,X,M1,0.0
2020-11-01,EQUIPAJE,X,M2,0.0
2020-11-01,EQUIPAJE,Y,M1,0.0
