DATE,UNE,SUBMARCA,CATEGORIA,RATE_CATEGORY_MODA
2020-9-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-9-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-9-01,BILLETERA,CLOESPORT,moda,0.8
2020-9-01,BILLETERA,CLOESPORT,basico,0.2
2020-9-01,BILLETERA,CLOEUOMO,moda,0.8
2020-9-01,BILLETERA,CLOEUOMO,basico,0.2
2020-9-01,BILLETERA,CLOELEATHER,moda,0.8
2020-9-01,BILLETERA,CLOELEATHER,basico,0.2
2020-9-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-9-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-9-01,BILLETERA,CLOE,moda,0.8
2020-9-01,BILLETERA,CLOE,basico,0.2
2020-9-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-9-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-10-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-10-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-10-01,BILLETERA,CLOESPORT,moda,0.8
2020-10-01,BILLETERA,CLOESPORT,basico,0.2
2020-10-01,BILLETERA,CLOEUOMO,moda,0.8
2020-10-01,BILLETERA,CLOEUOMO,basico,0.2
2020-10-01,BILLETERA,CLOELEATHER,moda,0.8
2020-10-01,BILLETERA,CLOELEATHER,basico,0.2
2020-10-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-10-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-10-01,BILLETERA,CLOE,moda,0.8
2020-10-01,BILLETERA,CLOE,basico,0.2
2020-10-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-10-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-11-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-11-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-11-01,BILLETERA,CLOESPORT,moda,0.8
2020-11-01,BILLETERA,CLOESPORT,basico,0.2
2020-11-01,BILLETERA,CLOEUOMO,moda,0.8
2020-11-01,BILLETERA,CLOEUOMO,basico,0.2
2020-11-01,BILLETERA,CLOELEATHER,moda,0.8
2020-11-01,BILLETERA,CLOELEATHER,basico,0.2
2020-11-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-11-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-11-01,BILLETERA,CLOE,moda,0.8
2020-11-01,BILLETERA,CLOE,basico,0.2
2020-11-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-11-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-12-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,moda,0.8
2020-12-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,basico,0.2
2020-12-01,BILLETERA,CLOESPORT,moda,0.8
2020-12-01,BILLETERA,CLOESPORT,basico,0.2
2020-12-01,BILLETERA,CLOEUOMO,moda,0.8
2020-12-01,BILLETERA,CLOEUOMO,basico,0.2
2020-12-01,BILLETERA,CLOELEATHER,moda,0.8
2020-12-01,BILLETERA,CLOELEATHER,basico,0.2
2020-12-01,BILLETERA,CLOEGIRLS,moda,0.8
2020-12-01,BILLETERA,CLOEGIRLS,basico,0.2
2020-12-01,BILLETERA,CLOE,moda,0.8
2020-12-01,BILLETERA,CLOE,basico,0.2
2020-12-01,BILLETERA,CLOEMOM&BABY,moda,0.8
2020-12-01,BILLETERA,CLOEMOM&BABY,basico,0.2
2020-1-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,moda,0.9
2020-1-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,basico,0.1
